Sr No,Ex id,Stock Name,Ticker,Time-frame,Minimum candle history,At,atHour,End date,endHour,Level,Remarks,Entry,Target,Stop-loss,RR ratio,Type of trader,Classification,
14,1,Asian Paints,ASIANPAINT,60-minute,2/1/20,2/1/20,11:00,2/4/20,15:00,8,"{""X"":""1810.70-1817.75""}",1827.45,1892.15,1805.95,3.009302326,BTST,Event,
1,2,ACC,ACC,60-minute,9/20/19,10/5/19,9:00,10/8/19,10:00,11,"{""X"":""1490.60""}",1478.1,1419.5,1507.4,2,BTST,Assisted,
12,2,Asian Paints,ASIANPAINT,Daily,9/23/19,10/6/19,9:00,10/22/19,15:30,14,{},1789.7,1677.7,1845.55,2.005371531,Swing trader,Event,
20,2,Bajaj Finance,BAJFINANCE,60-minute,10/1/19,10/7/19,12:00,10/9/19,15:00,20,{},3933.9,4014,3893.75,1.99501868,Intraday trader,Assisted,
8,2,Adani Ports,ADANIPORTS,Daily,9/20/19,11/18/19,9:00,1/9/20,15:30,9,"{""X"":""362.80""}",368,391.4,356.3,2,Swing trader,Event,
19,2,Bajaj Finance,BAJFINANCE,60-minute,11/15/19,12/9/19,9:00,12/29/19,9:00,20,{},4041.65,4205.3,3978.65,2.597619048,Swing trader,Event,
5,2,Adani Enterprises,ADANIENT,Daily,11/6/19,1/5/20,9:00,2/5/20,15:30,9,"{""X"":""199.20""}",201.1,238.9,188.5,3,Swing trader,Event,
18,2,Bajaj Finance,BAJFINANCE,Daily,1/8/20,2/1/20,9:00,2/19/20,15:30,13,{},4383.95,4865.8,4142.95,1.999377593,Swing trader,Assisted,
15,2,Bata,BATAINDIA,Daily,9/23/19,2/5/20,9:00,3/9/20,15:30,14,{},1833.5,1478.15,1967,2.661797753,Swing trader,Event,
2,2,ACC,ACC,Daily,2/1/20,2/9/20,9:00,3/6/20,15:30,10,"{""X"":""1508.05""}",1460.25,1255.7,1528.4,3.001467351,Swing trader,Assisted,
13,2,Asian Paints,ASIANPAINT,Daily,9/23/19,2/11/20,9:00,3/18/20,15:30,14,{},1877.8,1643.2,1958.2,2.917910448,Swing trader,Event,
10,2,Adani Trans,ADANITRANS,Daily,11/29/19,2/24/20,9:00,3/12/20,15:30,11,"{""X"":""280.50""}",260.5,183.1,285.85,3.053254438,Swing trader,Event,
16,2,Bata,BATAINDIA,Daily,1/6/20,5/16/20,9:00,6/10/20,15:30,20,{},1415.1,1605.15,1331.65,2.277411624,Swing trader,Event ,
3,2,ACC,ACC,Daily,9/21/20,7/14/20,9:00,10/20/20,15:30,12,"{""X"":""1413.80""}",1441.25,1624.3,1380.25,3.000819672,Swing trader,Event,
6,2,Adani Enterprises,ADANIENT,Daily,10/8/20,7/29/20,9:00,11/17/20,15:30,12,"{""X"":""328.90""}",338.85,389.8,313.8,2.033932136,Swing trader,Event,
14,2,Asian Paints,ASIANPAINT,Daily,8/25/20,8/16/20,9:00,12/29/20,15:30,18,{},2406.15,2707.5,2283.6,2.458996328,Swing trader,Event,
4,2,ACC,ACC,Daily,10/27/20,10/3/20,9:00,12/22/20,15:30,11,"{""X"":""1580.10""}",1573.8,1455.35,1633.8,1.974166667,Intraday trader,Event,
7,2,Adani Enterprises,ADANIENT,Daily,12/2/20,10/28/20,9:00,1/20/21,15:30,9,"{""X"":""420.65""}",457.8,545.6,413.8,1.995454545,Swing trader,Event,
